,timestamp,open,high,low,close
0,2021-02-23,28.18,28.18,27.63,27.91
1,2021-01-29,28.45,28.45,27.96,28.18
2,2020-12-31,28.45,28.55,27.72,28.45
3,2020-11-30,28.42,28.61,28.09,28.45
4,2020-10-30,28.29,28.48,28.0,28.42
5,2020-09-30,27.47,28.315,27.0,28.29
6,2020-08-31,27.6755,27.85,27.2,27.47
7,2020-07-31,26.69,27.86,26.67,27.6755
8,2020-06-30,26.89,26.89,26.1,26.69
9,2020-05-29,26.919,26.99,26.4625,26.89
10,2020-04-30,27.574,27.838,26.872,26.94
11,2020-03-31,24.6275,28.25,24.56,27.574
12,2020-02-28,24.995,25.11,24.355,24.6275
13,2020-01-31,23.68,24.995,23.6,24.995
14,2019-12-31,23.96,23.96,23.19,23.68
15,2019-11-29,24.77,24.834,23.925,23.96
16,2019-10-31,24.32,25.155,24.32,24.77
17,2019-09-30,25.09,25.36,24.015,24.32
18,2019-08-30,25.075,25.71,24.97,25.09
19,2019-07-31,26.155,26.168,25.03,25.075
20,2019-06-28,26.834,27.245,26.095,26.155
21,2019-05-31,26.355,26.945,26.07,26.834
22,2019-04-30,27.29,27.29,26.355,26.355
23,2019-03-29,27.02,27.29,26.25,27.29
24,2019-02-28,27.592,27.592,26.7845,27.02
25,2019-01-31,27.69,28.227,27.4445,27.592
26,2018-12-31,28.1695,28.2,27.1845,27.69
27,2018-11-30,28.09,28.4115,27.69,28.1695
28,2018-10-31,28.24,28.34,27.89,28.09
29,2018-09-28,28.22,28.46,28.01,28.24
30,2018-08-31,26.84,28.26,26.84,28.22
31,2018-07-31,26.28,26.86,26.15,26.84
32,2018-06-29,26.09,26.48,26.065,26.28
33,2018-05-31,26.21,26.3,26.025,26.09
34,2018-04-30,26.24,26.29,25.9,26.21
35,2018-03-30,26.79,26.79,25.87,26.24
36,2018-02-28,27.76,27.9225,26.6,26.79
37,2018-01-31,28.135,28.89,27.76,27.76
38,2017-12-29,27.04,28.135,26.98,28.135
39,2017-11-30,26.87,27.19,26.43,27.04
40,2017-10-31,26.59,26.88,26.21,26.87
41,2017-09-29,25.65,26.6,25.65,26.59
42,2017-08-31,25.78,25.92,25.39,25.65
43,2017-07-31,26.06,26.11,25.76,25.78
44,2017-06-30,26.2975,26.34,25.97,26.06
45,2017-05-31,26.525,26.55,25.99,26.2975
46,2017-04-28,27.03,27.13,26.52,26.525
47,2017-03-31,27.17,27.17,26.69,27.03
48,2017-02-28,27.06,27.49,26.84,27.17
49,2017-01-31,26.99,27.74,26.04,27.06
50,2016-12-30,25.52,27.29,24.96,26.99
51,2016-11-30,25.5,26.17,25.48,25.52
52,2016-10-31,25.9,25.9,25.45,25.5
53,2016-09-30,26.2,26.81,24.7975,25.9
54,2016-08-31,24.82,26.2,24.77,26.2
55,2016-07-29,24.8,24.84,24.74,24.82
56,2016-06-30,25.05,25.05,24.8,24.8
57,2016-05-31,25.15,25.45,25.0,25.05
58,2016-04-29,26.1,26.3,25.15,25.15
59,2016-03-31,26.8,27.11,25.4,26.1
60,2016-02-29,25.6,27.3,24.0,26.8
61,2016-01-29,24.0,25.6,23.15,25.6
62,2015-12-31,23.95,24.0,22.346,24.0
63,2015-11-30,23.195,24.01,22.55,23.95
64,2015-10-30,21.19,23.2,21.02,23.195
65,2015-09-30,22.0,22.48,21.0,21.19
66,2015-08-31,21.22,22.53,21.02,22.0
67,2015-07-31,21.0,22.33,20.0,21.22
68,2015-06-30,21.1,21.75,20.9,21.0
69,2015-05-29,21.0,22.0,20.0,21.1
70,2015-04-30,23.1635,23.49,20.5,21.0
71,2015-03-31,27.24,27.24,21.365,23.1635
72,2015-02-27,16.1575,33.7,16.1465,27.24
73,2015-01-30,15.7685,16.1575,15.749,16.1575
74,2014-12-31,14.969,15.8564,14.969,15.7685
