,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-02-26,2.9298,5.6028,2.893,3.5191,2.9298,5.6028,2.893,3.5191,1332194903.61,1332194903.61
1,2021-01-31,2.5906,3.922,2.3859,2.9297,2.5906,3.922,2.3859,2.9297,1194894176.93,1194894176.93
2,2020-12-31,3.2599,3.34,1.9964,2.5911,3.2599,3.34,1.9964,2.5911,569808444.97,569808444.97
3,2020-11-30,2.5279,3.8802,2.2259,3.2615,2.5279,3.8802,2.2259,3.2615,565481916.8,565481916.8
4,2020-10-31,2.5776,2.9711,2.4035,2.528,2.5776,2.9711,2.4035,2.528,282436783.5,282436783.5
5,2020-09-30,3.2081,3.5497,2.3907,2.5777,3.2081,3.5497,2.3907,2.5777,452988745.59,452988745.59
6,2020-08-31,3.0933,3.949,2.5435,3.2081,3.0933,3.949,2.5435,3.2081,556290478.44,556290478.44
7,2020-07-31,2.368,3.147,2.303,3.0932,2.368,3.147,2.303,3.0932,274137685.12,274137685.12
8,2020-06-30,2.6722,2.8939,2.1945,2.368,2.6722,2.8939,2.1945,2.368,193371068.79,193371068.79
9,2020-05-31,2.8208,3.01,2.267,2.6731,2.8208,3.01,2.267,2.6731,276622777.95,276622777.95
10,2020-04-30,2.209,3.1187,2.1324,2.822,2.209,3.1187,2.1324,2.822,322966363.96,322966363.96
11,2020-03-31,3.5105,3.86,1.3586,2.2086,3.5105,3.86,1.3586,2.2086,580499830.03,580499830.03
12,2020-02-29,4.1462,5.4996,3.2801,3.5105,4.1462,5.4996,3.2801,3.5105,362109788.21,362109788.21
13,2020-01-31,2.5837,4.4,2.4193,4.1444,2.5837,4.4,2.4193,4.1444,296041106.35,296041106.35
14,2019-12-31,2.7472,2.8559,2.1428,2.5833,2.7472,2.8559,2.1428,2.5833,156063211.18,156063211.18
15,2019-11-30,3.2545,3.6886,2.3307,2.7479,3.2545,3.6886,2.3307,2.7479,242805604.3,242805604.3
16,2019-10-31,2.9636,3.55,2.533,3.2531,2.9636,3.55,2.533,3.2531,257474819.31,257474819.31
17,2019-09-30,3.3195,4.2341,2.4212,2.9636,3.3195,4.2341,2.4212,2.9636,245860390.16,245860390.16
18,2019-08-31,4.4196,4.5771,3.05,3.3195,4.4196,4.5771,3.05,3.3195,98307034.37,98307034.37
19,2019-07-31,5.7949,6.15,3.3402,4.417,5.7949,6.15,3.3402,4.417,231606385.13,231606385.13
20,2019-06-30,8.5618,8.6389,5.6329,5.7926,8.5618,8.6389,5.6329,5.7926,261744330.34,261744330.34
21,2019-05-31,4.817,8.6903,4.5706,8.5645,4.817,8.6903,4.5706,8.5645,248070531.56,248070531.56
22,2019-04-30,4.1895,5.973,4.1382,4.8159,4.1895,5.973,4.1382,4.8159,231717330.83,231717330.83
23,2019-03-31,3.4977,4.406,3.1,4.1893,3.4977,4.406,3.1,4.1893,227705826.98,227705826.98
24,2019-02-28,2.31,4.4416,2.276,3.4971,2.31,4.4416,2.276,3.4971,222394554.47,222394554.47
25,2019-01-31,2.5345,2.9474,2.15,2.3089,2.5345,2.9474,2.15,2.3089,182269369.39,182269369.39
26,2018-12-31,2.8904,3.0842,1.528,2.5326,2.8904,3.0842,1.528,2.5326,378054647.81,378054647.81
27,2018-11-30,5.2538,5.84,2.7988,2.8921,5.2538,5.84,2.7988,2.8921,131499292.46,131499292.46
28,2018-10-31,5.7259,6.05,5.0151,5.2537,5.7259,6.05,5.0151,5.2537,236982571.42,236982571.42
29,2018-09-30,6.4085,6.8116,4.63,5.7257,6.4085,6.8116,4.63,5.7257,370599658.89,370599658.89
30,2018-08-31,7.3317,7.3937,4.15,6.4025,7.3317,7.3937,4.15,6.4025,366111484.03,366111484.03
31,2018-07-31,8.1298,9.4363,6.54,7.3317,8.1298,9.4363,6.54,7.3317,334380893.15,334380893.15
