,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-02-26,1312.45,2042.34,1269.99,1459.05,1312.45,2042.34,1269.99,1459.05,29939529.2764,29939529.2764
1,2021-01-31,736.42,1475.0,714.29,1312.55,736.42,1475.0,714.29,1312.55,59503044.0125,59503044.0125
2,2020-12-31,616.65,758.74,530.43,736.42,616.65,758.74,530.43,736.42,30451194.4334,30451194.4334
3,2020-11-30,386.44,623.0,370.23,616.66,386.44,623.0,370.23,616.66,36426105.3325,36426105.3325
4,2020-10-31,359.83,420.73,332.18,386.46,359.83,420.73,332.18,386.46,19292758.2613,19292758.2613
5,2020-09-30,433.8,488.84,308.42,359.83,433.8,488.84,308.42,359.83,34431117.9933,34431117.9933
6,2020-08-31,346.32,446.0,325.0,433.79,346.32,446.0,325.0,433.79,28769352.887,28769352.887
7,2020-07-31,225.59,349.45,222.87,346.33,225.59,349.45,222.87,346.33,20935176.0531,20935176.0531
8,2020-06-30,231.56,253.8,216.0,225.6,231.56,253.8,216.0,225.6,16073920.0773,16073920.0773
9,2020-05-31,206.07,247.0,176.0,231.57,206.07,247.0,176.0,231.57,24717586.8185,24717586.8185
10,2020-04-30,132.72,227.3,128.62,206.08,132.72,227.3,128.62,206.08,30622487.9429,30622487.9429
11,2020-03-31,217.29,251.93,86.0,132.72,217.29,251.93,86.0,132.72,40100166.9895,40100166.9895
12,2020-02-29,179.94,288.41,179.1,217.21,179.94,288.41,179.1,217.21,21153996.1458,21153996.1458
13,2020-01-31,129.16,187.0,125.88,179.99,129.16,187.0,125.88,179.99,12817879.2572,12817879.2572
14,2019-12-31,151.43,152.49,116.26,129.16,151.43,152.49,116.26,129.16,8781775.78331,8781775.78331
15,2019-11-30,182.19,195.09,131.45,151.37,182.19,195.09,131.45,151.37,10175750.1643,10175750.1643
16,2019-10-31,180.89,197.74,153.45,182.18,180.89,197.74,153.45,182.18,14105916.5904,14105916.5904
17,2019-09-30,171.52,223.94,150.03,180.85,171.52,223.94,150.03,180.85,13648082.3699,13648082.3699
18,2019-08-31,218.42,239.15,163.61,171.57,218.42,239.15,163.61,171.57,6963710.33197,6963710.33197
19,2019-07-31,292.89,318.19,191.84,218.42,292.89,318.19,191.84,218.42,11176590.6507,11176590.6507
20,2019-06-30,267.9,366.8,226.56,292.7,267.9,366.8,226.56,292.7,12433954.4044,12433954.4044
21,2019-05-31,161.85,288.62,157.55,267.9,161.85,288.62,157.55,267.9,18976801.3618,18976801.3618
22,2019-04-30,141.41,185.87,139.57,161.83,141.41,185.87,139.57,161.83,12829462.3407,12829462.3407
23,2019-03-31,135.32,145.89,122.6,141.38,135.32,145.89,122.6,141.38,8362024.665,8362024.665
24,2019-02-28,106.47,166.0,101.21,135.34,106.47,166.0,101.21,135.34,12685474.0086,12685474.0086
25,2019-01-31,131.45,159.26,100.91,106.44,131.45,159.26,100.91,106.44,13940118.5,13940118.5
26,2018-12-31,113.71,157.67,81.79,131.45,113.71,157.67,81.79,131.45,18264688.9784,18264688.9784
27,2018-11-30,198.7,224.8,102.36,113.73,198.7,224.8,102.36,113.73,10359779.8116,10359779.8116
28,2018-10-31,233.04,239.0,189.01,198.73,233.04,239.0,189.01,198.73,5656055.71475,5656055.71475
29,2018-09-30,281.46,302.0,167.32,232.94,281.46,302.0,167.32,232.94,15011197.2449,15011197.2449
30,2018-08-31,432.2,434.99,250.0,281.41,432.2,434.99,250.0,281.41,8484870.73771,8484870.73771
31,2018-07-31,454.2,515.47,416.94,432.22,454.2,515.47,416.94,432.22,4643015.20349,4643015.20349
