,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-02-26,22.277,55.444,21.788,37.25,22.277,55.444,21.788,37.25,63489568.605,63489568.605
1,2021-01-31,14.262,28.868,14.0,22.276,14.262,28.868,14.0,22.276,67967897.992,67967897.992
2,2020-12-31,18.58,19.32,12.216,14.256,18.58,19.32,12.216,14.256,22261050.763,22261050.763
3,2020-11-30,14.712,21.829,13.457,18.577,14.712,21.829,13.457,18.577,29701945.89,29701945.89
4,2020-10-31,19.103,20.366,13.974,14.702,19.103,20.366,13.974,14.702,18081384.324,18081384.324
5,2020-09-30,20.439,25.859,15.867,19.078,20.439,25.859,15.867,19.078,38266151.926,38266151.926
6,2020-08-31,12.247,22.9,11.0,20.443,12.247,22.9,11.0,20.443,34871190.596,34871190.596
7,2020-07-31,10.034,12.722,9.614,12.245,10.034,12.722,9.614,12.245,18585067.26,18585067.26
8,2020-06-30,10.944,13.2,9.309,10.034,10.944,13.2,9.309,10.034,15728692.556,15728692.556
9,2020-05-31,8.896,11.85,8.61,10.945,8.896,11.85,8.61,10.945,20015946.476,20015946.476
10,2020-04-30,6.774,9.641,6.401,8.897,6.774,9.641,6.401,8.897,15682134.565,15682134.565
11,2020-03-31,11.087,12.45,3.89,6.772,11.087,12.45,3.89,6.772,26726820.311,26726820.311
12,2020-02-29,11.465,16.75,10.4,11.103,11.465,16.75,10.4,11.103,23715596.585,23715596.585
13,2020-01-31,8.674,12.339,8.321,11.453,8.674,12.339,8.321,11.453,9368653.466,9368653.466
14,2019-12-31,9.312,9.525,7.749,8.678,9.312,9.525,7.749,8.678,5893486.517,5893486.517
15,2019-11-30,10.542,13.425,8.307,9.316,10.542,13.425,8.307,9.316,16337683.642,16337683.642
16,2019-10-31,7.601,13.428,6.635,10.536,7.601,13.428,6.635,10.536,17461110.927,17461110.927
17,2019-09-30,8.799,10.326,6.692,7.599,8.799,10.326,6.692,7.599,6082645.199,6082645.199
18,2019-08-31,11.719,12.584,8.51,8.791,11.719,12.584,8.51,8.791,6572798.169,6572798.169
19,2019-07-31,16.774,18.308,9.722,11.727,16.774,18.308,9.722,11.727,17160936.412,17160936.412
20,2019-06-30,13.543,20.985,11.02,16.747,13.543,20.985,11.02,16.747,27983449.132,27983449.132
21,2019-05-31,9.734,14.962,8.333,13.543,9.734,14.962,8.333,13.543,26396904.285,26396904.285
22,2019-04-30,10.095,13.839,9.15,9.729,10.095,13.839,9.15,9.729,19921418.747,19921418.747
23,2019-03-31,8.816,10.268,7.902,10.095,8.816,10.268,7.902,10.095,15908828.881,15908828.881
24,2019-02-28,6.865,10.837,6.7,8.813,6.865,10.837,6.7,8.813,23320771.55,23320771.55
25,2019-01-31,7.423,9.65,6.666,6.861,7.423,9.65,6.666,6.861,19791198.315,19791198.315
26,2018-12-31,7.764,9.004,5.398,7.409,7.764,9.004,5.398,7.409,25110163.601,25110163.601
27,2018-11-30,15.468,17.583,6.81,7.772,15.468,17.583,6.81,7.772,16040512.579,16040512.579
28,2018-10-31,18.947,19.158,14.599,15.468,18.947,19.158,14.599,15.468,14115691.393,14115691.393
29,2018-09-30,20.082,25.321,16.136,18.936,20.082,25.321,16.136,18.936,27464444.457,27464444.457
30,2018-08-31,29.73,30.289,13.8,20.03,29.73,30.289,13.8,20.03,22083182.271,22083182.271
31,2018-07-31,30.805,43.239,29.068,29.729,30.805,43.239,29.068,29.729,17543324.639,17543324.639
