,timestamp,open,high,low,close,volume
0,2021-02-25,258.8,274.29,240.07,240.18,282583929
1,2021-01-29,226.5,269.0,220.09,253.83,493213157
2,2020-12-31,265.47,271.3,211.23,232.73,573851914
3,2020-11-30,310.95,311.44,252.55,263.36,584373494
4,2020-10-30,295.26,319.32,284.88,304.69,278228669
5,2020-09-30,289.2,299.0,264.56,293.98,235282442
6,2020-08-31,254.02,292.48,246.1,287.03,309700272
7,2020-07-31,215.81,268.0,214.74,251.02,425984465
8,2020-06-30,205.9,231.03,203.94,215.7,333902903
9,2020-05-29,195.75,221.1574,189.53,207.39,503534951
10,2020-04-30,189.5,216.1,185.04,202.67,329072096
11,2020-03-31,208.59,215.15,169.95,194.48,439406831
12,2020-02-28,208.67,226.7,198.561,208.0,327996441
13,2020-01-31,216.6,231.14,199.5,206.59,302997673
14,2019-12-31,198.58,218.11,189.85,212.1,300669495
15,2019-11-29,179.01,200.98,176.06,200.0,408589636
16,2019-10-31,168.01,179.64,161.68,176.67,261159493
17,2019-09-30,173.0,184.13,163.15,167.23,246984447
18,2019-08-30,174.54,178.8,151.85,175.03,405012202
19,2019-07-31,175.865,179.88,165.0,173.11,356339925
20,2019-06-28,149.6,171.98,148.845,169.45,431888593
21,2019-05-31,186.75,195.72,147.95,149.26,511793591
22,2019-04-30,185.09,189.79,176.76,185.57,260691920
23,2019-03-29,185.09,188.08,171.565,182.45,233498823
24,2019-02-28,168.0,184.93,163.75,183.03,223664541
25,2019-01-31,134.13,169.73,129.83,168.49,361426233
26,2018-12-31,168.64,168.8,129.77,137.07,344562766
27,2018-11-30,144.98,160.86,138.62,160.86,456395986
28,2018-10-31,165.92,165.95,130.06,142.28,544315498
29,2018-09-28,173.5,173.95,152.85,164.76,433318007
30,2018-08-31,186.0,189.06,165.39,175.01,605664280
31,2018-07-31,181.66,198.35,181.06,187.23,321804405
32,2018-06-29,199.5,211.7,182.04,185.53,408887733
33,2018-05-31,177.58,202.28,175.77,198.01,412790720
34,2018-04-30,182.81,183.63,166.13,178.54,323617278
35,2018-03-29,186.18,201.5,175.45,183.54,382834746
36,2018-02-28,192.75,199.49,168.88,186.14,445029521
37,2018-01-31,176.399,206.2,175.7,204.29,445133368
38,2017-12-29,175.27,180.68,164.25,172.43,416245893
39,2017-11-30,187.88,191.75,173.62,177.08,419971772
40,2017-10-31,174.57,185.12,168.58,184.89,336826574
41,2017-09-29,171.99,180.87,166.79,172.71,363011700
42,2017-08-31,156.25,177.0,147.5,171.74,468981719
43,2017-07-31,141.75,160.39,139.495,154.95,271729551
44,2017-06-30,122.82,148.29,122.26,140.9,544291336
45,2017-05-31,115.63,126.4,114.0,122.46,277875098
46,2017-04-28,108.85,115.99,106.76,115.5,171508241
47,2017-03-31,103.68,110.45,102.1,107.83,205435679
48,2017-02-28,102.07,105.2,100.02,102.9,160485323
49,2017-01-31,89.0,104.57,88.08,101.31,239134550
50,2016-12-30,94.0,94.055,86.01,87.81,218082487
51,2016-11-30,100.43,104.1,87.88,94.02,330513400
52,2016-10-31,105.45,109.0,99.0,101.69,240078790
53,2016-09-30,97.3,109.87,97.0,105.79,420541516
54,2016-08-31,82.79,98.86,82.59,97.19,450521042
55,2016-07-29,79.12,85.0,77.68,82.48,205159741
56,2016-06-30,79.15,80.14,73.3,79.53,375800595
57,2016-05-31,76.89,82.03,74.12,82.0,376860709
58,2016-04-29,78.24,85.89,75.66,76.94,215841293
59,2016-03-31,70.02,79.84,69.86,79.03,231331767
60,2016-02-29,66.5,70.58,59.25,68.81,314493127
61,2016-01-29,78.18,78.68,65.34,67.03,350723599
62,2015-12-31,83.77,85.82,78.99,81.27,313842645
63,2015-11-30,83.52,86.42,75.64,84.08,465918043
64,2015-10-30,59.5,84.44,58.2,83.83,387907533
65,2015-09-30,64.58,68.08,57.2,58.97,455063420
66,2015-08-31,78.2,80.99,58.0,66.12,381205945
67,2015-07-31,82.6,85.38,76.21,78.34,255379375
68,2015-06-30,90.09,91.6,80.8,82.27,248091060
69,2015-05-29,81.03,95.06,77.77,89.32,457067741
70,2015-04-30,83.37,87.69,80.4399,81.29,336957763
71,2015-03-31,85.0,87.04,80.03,83.24,388629425
72,2015-02-27,91.13,91.88,83.88,85.12,253882675
73,2015-01-30,104.24,105.3399,87.36,89.08,379525849
74,2014-12-31,110.02,111.68,101.2,103.94,355328508
75,2014-11-28,99.67,120.0,99.05,111.64,772586459
76,2014-10-31,88.7,100.67,82.81,98.6,441708953
